open_ts_utc,open,high,low,close
1785035700,64514.32,64516.19,64446.5,64491.39
1785036600,64491.4,64514.86,64463.61,64467.38
1785037500,64467.36,64497.89,64454.1,64474.34
1785038400,64474.38,64489.31,64428.98,64439.85
1785039300,64439.9,64486.82,64409.02,64476.54
1785040200,64476.56,64512.92,64459.83,64512.45
1785041100,64512.43,64531.99,64435.8,64449.04
1785042000,64449.04,64459.01,64417.0,64452.86
1785042900,64452.85,64453.7,64410.68,64421.66
1785043800,64410.86,64421.96,64315.95,64400.34
1785044700,64411.14,64411.4,64338.77,64352.69
1785045600,64352.69,64373.95,64275.48,64289.45
1785046500,64289.45,64300.52,64215.11,64228.43
1785047400,64228.43,64332.33,64223.24,64299.12
1785048300,64299.13,64397.77,64297.56,64364.0
1785049200,64374.8,64399.53,64317.11,64350.37
1785050100,64350.37,64376.48,64286.3,64312.11
1785051000,64312.11,64319.9,64271.07,64288.87
1785051900,64288.89,64322.86,64278.06,64315.46
1785052800,64315.47,64335.43,64277.59,64332.77
1785053700,64332.85,64356.06,64306.75,64341.09
1785054600,64341.1,64386.4,64324.02,64375.78
1785055500,64375.79,64435.05,64375.68,64421.19
1785056400,64421.19,64459.1,64408.51,64427.72
1785057300,64427.37,64493.23,64426.54,64476.1
1785058200,64476.08,64488.07,64438.17,64486.67
1785059100,64486.68,64492.75,64464.04,64469.11
1785060000,64469.06,64480.61,64434.4,64439.45
1785060900,64439.42,64485.64,64424.32,64453.27
1785061800,64451.64,64496.5,64451.64,64494.85
1785062700,64494.87,64528.86,64438.15,64455.63
1785063600,64455.36,64476.08,64432.24,64448.85
1785064500,64448.84,64466.44,64431.02,64442.82
1785065400,64442.68,64442.76,64420.39,64438.72
1785066300,64438.25,64459.25,64426.83,64442.09
1785067200,64442.11,64609.63,64442.09,64544.8
1785068100,64544.8,64561.88,64440.69,64510.89
1785069000,64510.87,64511.13,64430.39,64442.13
1785069900,64442.12,64442.12,64363.38,64396.08
1785070800,64396.07,64417.06,64342.37,64361.21
1785071700,64350.41,64459.62,64350.01,64414.17
1785072600,64404.15,64504.36,64387.16,64504.36
1785073500,64504.33,64517.8,64446.93,64463.46
1785074400,64463.46,64731.72,64451.29,64648.09
1785075300,64648.09,64648.09,64551.1,64575.3
1785076200,64575.29,64668.08,64549.84,64617.25
1785077100,64628.05,64698.9,64608.53,64647.01
1785078000,64657.81,64736.49,64601.12,64617.09
1785078900,64617.04,64728.27,64606.22,64699.6
1785079800,64699.62,64778.51,64660.03,64745.41
1785080700,64745.42,64746.01,64668.4,64705.45
1785081600,64705.65,64741.88,64625.15,64659.45
1785082500,64659.47,64769.8,64646.48,64730.37
1785083400,64730.37,64880.56,64726.21,64768.03
1785084300,64768.03,64781.07,64660.21,64671.16
1785085200,64660.36,64717.44,64597.36,64715.47
1785086100,64704.67,64738.31,64641.97,64646.86
1785087000,64646.87,64696.65,64600.19,64627.29
1785087900,64627.31,64652.88,64601.7,64626.9
1785088800,64626.86,64651.87,64608.31,64615.43
1785089700,64615.45,64647.65,64596.69,64630.38
1785090600,64630.97,64668.19,64606.69,64637.8
1785091500,64637.82,64723.08,64635.87,64679.39
1785092400,64679.5,64690.15,64602.17,64620.09
1785093300,64620.1,64683.32,64609.29,64654.44
1785094200,64654.45,64702.8,64648.08,64656.21
1785095100,64656.21,64667.29,64625.85,64639.97
1785096000,64640.0,64647.8,64616.96,64639.43
1785096900,64639.42,64639.49,64556.34,64594.46
1785097800,64594.47,64616.73,64581.98,64610.99
1785098700,64610.99,64610.99,64575.96,64595.49
1785099600,64583.02,64660.61,64579.93,64636.72
1785100500,64636.72,64811.32,64623.96,64761.01
1785101400,64761.08,64789.48,64720.75,64720.91
1785102300,64720.95,64874.75,64720.95,64793.94
1785103200,64793.94,65205.0,64793.94,65141.05
1785104100,65141.05,65207.56,65095.56,65158.61
1785105000,65158.61,65448.92,65127.36,65402.62
1785105900,65402.62,65445.82,65304.55,65353.17
1785106800,65353.16,65533.7,65312.48,65341.95
1785107700,65341.36,65440.59,65238.19,65279.95
1785108600,65280.02,65353.49,65190.13,65338.9
1785109500,65338.96,65407.8,65279.74,65335.56
1785110400,65335.56,65370.82,65111.7,65166.69
1785111300,65166.71,65198.58,65031.93,65132.17
1785112200,65132.16,65166.15,65037.56,65097.22
1785113100,65097.22,65132.34,64974.99,65067.37
1785114000,65067.42,65141.42,64966.1,64976.11
1785114900,64986.91,65019.36,64904.67,64952.67
1785115800,64952.66,65055.08,64812.95,65029.81
1785116700,65029.82,65152.57,65001.72,65127.94
1785117600,65127.95,65157.27,65078.97,65122.52
1785118500,65122.62,65180.16,65073.13,65107.83
1785119400,65107.85,65215.91,65038.71,65175.59
1785120300,65164.79,65200.01,65050.95,65098.72
1785121200,65099.4,65230.09,65086.16,65206.73
1785122100,65206.72,65281.72,65184.39,65238.52
1785123000,65238.5,65294.24,65176.3,65284.69
1785123900,65284.64,65301.86,65186.97,65221.14
1785124800,65221.17,65312.98,65171.47,65171.47
